City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Cherskiy,68.75,161.3,-40.31,99,100,6.04,RU,2022-12-14 21:42:15
119,Igarka,67.4667,86.5833,-6.27,98,100,18.14,RU,2022-12-14 21:51:44
120,Palencia,42.4167,-4.5,47.91,93,100,5.26,ES,2022-12-14 21:51:44
121,Torbay,47.6666,-52.7314,37.89,97,100,8.05,CA,2022-12-14 21:48:35
122,Constitucion,-35.3333,-72.4167,65.59,66,3,20.36,CL,2022-12-14 21:51:45
123,Atuona,-9.8,-139.0333,78.3,76,45,15.7,PF,2022-12-14 21:51:45
124,Saint-Philippe,-21.3585,55.7679,74.79,84,44,9.66,RE,2022-12-14 21:43:16
125,Yellowknife,62.456,-114.3525,7.32,85,40,10.36,CA,2022-12-14 21:43:28
126,Nhulunbuy,-12.2333,136.7667,83.01,83,69,1.14,AU,2022-12-14 21:51:46
127,Tiznit,29.5833,-9.5,62.28,74,97,7.99,MA,2022-12-14 21:51:46
128,Alofi,-19.0595,-169.9187,82.29,69,75,10.36,NU,2022-12-14 21:46:03
129,Abong Mbang,3.9833,13.1833,69.46,55,8,2.98,CM,2022-12-14 21:51:47
130,Bluff,-46.6,168.3333,63.81,82,53,12.59,NZ,2022-12-14 21:51:47
131,Tura,25.5198,90.2201,58.33,86,0,1.23,IN,2022-12-14 21:51:47
132,Port Hedland,-20.3167,118.5667,77.05,100,10,0.0,AU,2022-12-14 21:51:48
133,East London,-33.0153,27.9116,70.21,90,72,7.83,ZA,2022-12-14 21:44:39
134,Tuatapere,-46.1333,167.6833,64.22,72,55,4.12,NZ,2022-12-14 21:44:46
135,Hovd,48.0056,91.6419,-2.81,81,59,6.98,MN,2022-12-14 21:51:49
136,Valparaiso,-33.0393,-71.6273,79.03,35,0,17.27,CL,2022-12-14 21:51:49
137,Zhangjiakou,40.81,114.8794,10.45,53,9,12.73,CN,2022-12-14 21:51:49
138,Bredasdorp,-34.5322,20.0403,69.62,88,55,2.59,ZA,2022-12-14 21:41:20
139,Morondava,-20.2833,44.2833,75.92,87,64,5.64,MG,2022-12-14 21:52:50
140,Blagodarnyy,45.0978,43.4364,36.45,85,100,3.33,RU,2022-12-14 21:52:50
141,Puerto Ayora,-0.7393,-90.3518,75.16,95,95,1.99,EC,2022-12-14 21:49:28
142,Gull Lake,50.1001,-108.4847,18.55,94,100,16.22,CA,2022-12-14 21:52:51
